plan on watching | планировать посмотреть | []
The crackers had become stale. | Крекеры стали черствыми. | [ˈkrækəz]..[steɪl]
interpreter | переводчик| [ɪnˈtɜːprɪtə]
ancestors | предки | [ˈænsɪstəz]
cunning fox | хитрая лисица | [ˈkʌnɪŋ fɔks]

ask for the extention 35 | добавочный код | [ɪksˈtenʃn]
it's a pleasure. | очень приятно(с удовольствием) | [ˈpleʒə]
I'm fed up with your games. | Я сыт по горло твоими играми | []
That's very kind of you. | Это очень любезно с вашей стороны. | []
Don't mention it. | Не за что. (не стоит благодарности) | [menʃn]
tennis court | тенисный корт | [ˈtenɪs kɔːt]
racket | ракетка | [ˈrækɪt]
Unfortunately no. | Увы (к сожалению) нет. | [ʌnˈfɔːʧʊnətlɪ]
fortunately | к счастью | [ˈfɔːʧənətlɪ]
sell socks | продавать носки | [sɔks]
We'll, something else perhaps?  | Хорошо, что-то еще возможно? | []
I don't play for money. | Я не играю на деньги | []

I don't know if it's gonna be any good. | Я не знаю будет ли он хорошим | [ˈɡɒnə]
Rocky six is supposed to come out this Friday. | Рокки 6 должен выйти в эту пятницу | [səˈpəʊzd]
see the movie afterwards | посмотреть кино после этого (потом) | [ˈɑːftəwədz]
hook up for lunch | встретиться пообедать | [hʊk]
entertaining movie | увлекательное кино | [entəˈteɪnɪŋ ˈmuːvɪ]
something is suspicious | что-то подозрительное | [səsˈpɪʃəs]
primarily dramas and actions | преимущественно драмы и эшны| [ˈpraɪmərɪlɪ]
I don't care for westerns. | Меня не интересуют вестерны. | [kɛə]
сhildish movie | детское(несерьезное) кино | [ˈʧaɪldɪʃ ˈmuːvɪ]
Deploying is straightforward. | Развертывание - простая (прямолинейная) вещь.| [dɪˈplɔɪ iz streɪtˈfɔːwəd]
